indexNCT04502056重复_由于各措施对应结局,nctid,outcome_description,participate_group_num,outcome_group_num,group_info,outcome_check,standard_outcome_check,checker_before,Time_Frame,conceptId,conceptName,domainId,outcome_id
77,NCT04401579,Change From Baseline in Glucose,O1:493|O2:493|O1:493|O2:493|O1:412|O2:409|O1:270|O2:284|O1:190|O2:203|O1:252|O2:271|O1:257|O2:256,O1:-17.1|O2:-6.0|O1:-15.9|O2:-1.6|O1:-16.8|O2:5.0|O1:-8.1|O2:1.2|O1:-11.1|O2:0.8|O1:-4.6|O2:-2.2,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Glucose,Glucose,['Glucose'],Time Frame: Day 1 through Day 29 ,45770408,Baseline blood glucose concentration,Measurement,outcome_75
78,NCT04401579,Change From Baseline in Hemoglobin,O1:493|O2:494|O1:493|O2:494|O1:410|O2:409|O1:270|O2:284|O1:189|O2:199|O1:253|O2:267|O1:260|O2:254,O1:-0.46|O2:-0.34|O1:-0.62|O2:-0.64|O1:-0.93|O2:-1.08|O1:-1.29|O2:-1.62|O1:-0.96|O2:-1.12|O1:-0.54|O2:-0.77,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Hemoglobin,Hemoglobin,['Hemoglobin'],Time Frame: Day 1 through Day 29 ,4289753,Hemoglobin H,Observation,outcome_76
79,NCT04401579,Change From Baseline in Platelets,O1:493|O2:494|O1:493|O2:494|O1:410|O2:409|O1:269|O2:284|O1:189|O2:199|O1:252|O2:267|O1:260|O2:254,O1:55.9|O2:52.6|O1:116.6|O2:106.1|O1:197.9|O2:158.9|O1:229.9|O2:145.7|O1:175.9|O2:111.6|O1:16.5|O2:36.9,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Platelets,Platelet,"['Platelets', 'Platelet']",Time Frame: 28 and 90 day evaluation ,36879118,human platelets,Drug,outcome_77
80,NCT04401579,Change From Baseline in Prothrombin International Normalized Ratio (INR),O1:447|O2:439|O1:447|O2:439|O1:360|O2:370|O1:244|O2:250|O1:162|O2:175|O1:222|O2:241|O1:232|O2:232,O1:-0.03|O2:0.05|O1:0.02|O2:0.08|O1:0.01|O2:0.08|O1:0.04|O2:0.03|O1:-0.04|O2:-0.08|O1:-0.12|O2:-0.03,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Prothrombin International Normalized Ratio (INR),INR,['Prothrombin International Normalized Ratio (INR)'],Time Frame: 24 hours after a 1000 U intranasal dose of heparin ,35917345,International Normalized Ratio for Prothrombin Time (INR),Measurement,outcome_78
81,NCT04401579,Change From Baseline in Total Bilirubin,O1:490|O2:491|O1:490|O2:491|O1:407|O2:405|O1:268|O2:284|O1:187|O2:201|O1:250|O2:270|O1:256|O2:254,O1:-0.06|O2:-0.01|O1:-0.04|O2:0.01|O1:-0.06|O2:0.01|O1:-0.08|O2:0.08|O1:-0.10|O2:0.08|O1:-0.10|O2:0.01,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Total Bilirubin,Total Bilirubin,['Total Bilirubin'],Time Frame: Pre-SSI to Immediately Post-SSI; Pre-SSI to 3-month follow-up ,4230543,"Bilirubin, total measurement",Measurement,outcome_79
82,NCT04401579,Change From Baseline in White Blood Cell Count (WBC),O1:493|O2:494|O1:493|O2:494|O1:410|O2:409|O1:270|O2:284|O1:189|O2:199|O1:253|O2:267|O1:260|O2:254,O1:-0.831|O2:-0.037|O1:-0.276|O2:0.392|O1:0.663|O2:1.606|O1:1.869|O2:2.938|O1:0.694|O2:2.162|O1:-0.364|O2:0.712,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,White Blood Cell Count (WBC),WBC,['White Blood Cell Count (WBC)'],Time Frame: 0 to 24 hours post dose ,4298431,White blood cell count,Measurement,outcome_80
83,NCT04401579,Change From Baseline in Neutrophils,O1:488|O2:493|O1:488|O2:493|O1:408|O2:404|O1:268|O2:282|O1:186|O2:196|O1:249|O2:267|O1:257|O2:253,O1:-1.925|O2:-0.333|O1:-1.334|O2:-0.204|O1:-0.813|O2:1.139|O1:-0.046|O2:1.847|O1:-1.192|O2:1.414|O1:-1.708|O2:-0.656,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Neutrophils,Neutrophils,['Neutrophils'],Time Frame: Day 28 ,42596538,Toxic change in neutrophil,Condition,outcome_81
84,NCT04401579,Change From Baseline in Lymphocytes,O1:488|O2:493|O1:488|O2:493|O1:408|O2:404|O1:268|O2:282|O1:186|O2:196|O1:249|O2:267|O1:257|O2:253,O1:0.503|O2:0.074|O1:0.620|O2:0.205|O1:0.515|O2:0.304|O1:0.541|O2:0.409|O1:0.687|O2:0.718|O1:0.653|O2:0.927,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Lymphocytes,Lymphocytes,['Lymphocytes'],"Time Frame: Baseline, Day 15, Day 29 ",36309122,Lymphocytes,Meas Value,outcome_82
85,NCT04401579,Change From Baseline in Monocytes,O1:487|O2:493|O1:487|O2:493|O1:408|O2:404|O1:268|O2:282|O1:186|O2:196|O1:249|O2:267|O1:257|O2:253,O1:0.004|O2:0.062|O1:0.094|O2:0.153|O1:0.105|O2:0.279|O1:0.210|O2:0.378|O1:0.256|O2:0.329|O1:0.108|O2:0.212,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Monocytes,Monocytes,['Monocytes'],Time Frame: 14 days ,36310669,Monocytes,Meas Value,outcome_83
86,NCT04401579,Change From Baseline in Basophils,O1:483|O2:492|O1:483|O2:492|O1:402|O2:402|O1:265|O2:281|O1:185|O2:195|O1:247|O2:265|O1:257|O2:250,O1:0.000|O2:0.001|O1:0.007|O2:0.006|O1:0.011|O2:0.017|O1:0.014|O2:0.022|O1:0.026|O2:0.037|O1:0.022|O2:0.036,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Basophils,Basophils,['Basophils'],Time Frame: From 6th to the end of 10th day ,4099772,Basophilic degeneration,Observation,outcome_84
87,NCT04401579,Change From Baseline in Eosinophils,O1:484|O2:492|O1:484|O2:492|O1:405|O2:403|O1:265|O2:281|O1:185|O2:195|O1:247|O2:264|O1:257|O2:251,O1:0.050|O2:0.039|O1:0.104|O2:0.075|O1:0.088|O2:0.086|O1:0.078|O2:0.115|O1:0.121|O2:0.109|O1:0.192|O2:0.205,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Eosinophils,Eosinophils,['Eosinophils'],"Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",45884164,Eosinophils,Meas Value,outcome_85
88,NCT04401579,Change in National Early Warning Score (NEWS) From Baseline,O1:515|O2:518,O1:-0.5|O2:-0.1|O1:-0.9|O2:-0.4|O1:-1.5|O2:-0.8|O1:-1.8|O2:-1.1|O1:-2.1|O2:-1.2|O1:-2.0|O2:-1.2|O1:-2.2|O2:-1.4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,National Early Warning Score (NEWS) ,NEWS,['National Early Warning Score (NEWS)'],Time Frame: Up to 28 days ,44808684,Royal College of Physicians NEWS (national early warning score),Measurement,outcome_86
89,NCT04401579,Percentage of Participants Reporting Grade 3 and 4 Clinical and/or Laboratory Adverse Events (AEs),O1:507|O2:509,O1:40.8|O2:46.8,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. ,45884383,Adverse event,Meas Value,outcome_87
90,NCT04401579,Percentage of Participants Reporting Serious Adverse Events (SAEs),O1:507|O2:509,O1:16.0|O2:21.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Adverse Events,Adverse,"['Adverse Events', 'Adverse', 'Adverse Event']",Time Frame: 22 days after randomization. ,4158959,Serious reportable event,Observation,outcome_88
91,NCT04401579,Duration of Hospitalization,O1:515|O2:518|O1:515|O2:518|O1:491|O2:481,O1:8|O2:8|O1:8|O2:8,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Hospitalization,Hospitalization,"['Hospitalization', 'hospitalization', 'Hospital']",Time Frame: Day 11 ,46236995,Hospital stay duration,Observation,outcome_89
92,NCT04401579,Duration of New Non-invasive Ventilation or High Flow Oxygen Use,O1:70|O2:82|O1:70|O2:82|O1:65|O2:72,O1:6|O2:4.5|O1:5|O2:4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Non-invasive Ventilation or High Flow Oxygen Use,Oxygen,"['Oxygen', 'New Non-invasive Ventilation or High Flow Oxygen Use', 'Oxygen Use']",Time Frame: Day 28 ,4177224,Noninvasive ventilation,Procedure,outcome_90
93,NCT04401579,Duration of New Oxygen Use,O1:16|O2:29,O1:3|O2:3|O1:3|O2:3,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Oxygen Use,Oxygen,"['Oxygen', 'New Oxygen Use', 'Oxygen Use']","Time Frame: Day 0, Day 3, Day 5, and Day 7 ",40493512,Oxygen saturation below reference range,Condition,outcome_91
94,NCT04401579,Duration of New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,O1:46|O2:70|O1:46|O2:70|O1:39|O2:52,O1:16|O2:27|O1:13|O2:20,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,ECMO,"['Oxygen', 'ECMO', 'New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use']",Time Frame: after each inhalation during 10 days ,4052536,Extracorporeal membrane oxygenation,Procedure,outcome_92
95,NCT04401579,Duration of Oxygen Use,O1:445|O2:446|O1:445|O2:446|O1:421|O2:409,O1:10|O2:12|O1:9|O2:10,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Oxygen Use,Oxygen,"['Oxygen', 'Oxygen Use']",Time Frame: 28 days after randomization ,40486533,Finding of oxygen saturation,Condition,outcome_93
96,NCT04401579,Percentage of Participants Discontinued or Temporarily Suspended From Investigational Therapeutics,O1:515|O2:518,O1:55|O2:51|O1:0|O2:1|O1:66|O2:59|O1:0|O2:1|O1:2|O2:2|O1:16|O2:18|O1:23|O2:27|O1:30|O2:34|O1:3|O2:4|O1:4|O2:5,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Discontinued or Temporarily Suspended From Investigational Therapeutics,Discontinued,"['Discontinued or Temporarily Suspended From Investigational Therapeutics', 'Discontinued']",Time Frame: Day 1 through Day 29 ,4133895|36309075,Therapeutic|Discontinue,Observation|Meas Value,outcome_94
97,NCT04401579,Percentage of Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,O1:461|O2:461,O1:10|O2:15,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use,ECMO,"['Oxygen', 'ECMO', 'Participants Requiring New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use', 'New Ventilator or Extracorporeal Membrane Oxygenation (ECMO) Use']","Time Frame: from first inhalation until discharge from the clinic, up to 30 days ",4052536,Extracorporeal membrane oxygenation,Procedure,outcome_95
98,NCT04401579,Percentage of Participants Requiring New Oxygen Use,O1:70|O2:72,O1:23|O2:40,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,New Oxygen Use,Oxygen,"['Oxygen', 'New Oxygen Use', 'Participants Requiring New Oxygen Use', 'Oxygen Use']","Time Frame: Day 0, Day 3, Day 5, and Day 7 ",40482644,Oxygen percentage delivered,Observation,outcome_96
99,NCT04401579,Mean Change in the Ordinal Scale,O1:515|O2:518,O1:0.1|O2:0.1|O1:0.0|O2:0.0|O1:-0.3|O2:-0.1|O1:-0.4|O2:-0.2|O1:-2.3|O2:-1.9|O1:-2.7|O2:-2.3|O1:-2.9|O2:-2.5,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Mean Change', 'ordinal scale']","Time Frame: Day 7, Day 14, Day 21 & Day 30 ",4062806,Scale,Device,outcome_97
100,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 15,O1:515|O2:518,O1:2|O2:3|O1:9|O2:16|O1:4|O2:4|O1:8|O2:10|O1:6|O2:3|O1:2|O2:1|O1:34|O2:31|O1:34|O2:32,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Day 7, Day 14, Day 21 & Day 30 ",4138597,Clinical status,Observation,outcome_98
101,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 1,O1:515|O2:518,O1:0|O2:0|O1:10|O2:11|O1:20|O2:22|O1:56|O2:53|O1:14|O2:14|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: day 7, day 14 ,day 21 & day 30 ",4138597,Clinical status,Observation,outcome_99
102,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 3,O1:515|O2:518,O1:0.4|O2:0|O1:15|O2:16|O1:22|O2:22|O1:45|O2:44|O1:16|O2:14|O1:0.2|O2:1|O1:0|O2:0|O1:0|O2:0|O1:0|O2:0|O1:0.2|O2:0.4|O1:1|O2:2,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: Pre and Post 1st dose; Pre and Post 2nd dose ,4138597,Clinical status,Observation,outcome_100
103,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 5,O1:515|O2:518,O1:1|O2:0|O1:15|O2:18|O1:17|O2:18|O1:35|O2:33|O1:19|O2:15|O1:1|O2:1|O1:0.2|O2:0|O1:0.2|O2:0|O1:0|O2:0.2|O1:10|O2:13|O1:2|O2:3,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']","Time Frame: Baseline, Day 7, Day 14, Day 21 & Day 30 ",4138597,Clinical status,Observation,outcome_101
104,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 8,O1:515|O2:518,O1:1|O2:1|O1:13|O2:18|O1:11|O2:12|O1:18|O2:18|O1:12|O2:10|O1:1|O2:1|O1:0.2|O2:0|O1:0.4|O2:0|O1:0|O2:0.4|O1:40|O2:36|O1:3|O2:4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: up to Day 30 ,4138597,Clinical status,Observation,outcome_102
105,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 11,O1:515|O2:518,O1:1|O2:2|O1:11|O2:16|O1:6|O2:7|O1:12|O2:10|O1:9|O2:7|O1:1|O2:1|O1:0|O2:0|O1:0.2|O2:0.2|O1:0|O2:1|O1:56|O2:52|O1:3|O2:4,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: Up to day 14 ,4138597,Clinical status,Observation,outcome_103
106,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 22,O1:515|O2:518,O1:4|O2:6|O1:6|O2:9|O1:3|O2:1|O1:3|O2:5|O1:2|O2:3|O1:1|O2:0.4|O1:24|O2:25|O1:44|O2:37|O1:0|O2:0|O1:4|O2:3|O1:9|O2:10,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: Up to day 28 ,4138597,Clinical status,Observation,outcome_104
107,NCT04401579,Percentage of Participants at Each Clinical Status Using Ordinal Scale at Day 29,O1:515|O2:518,O1:5|O2:7|O1:3|O2:7|O1:2|O2:1|O1:2|O2:3|O1:3|O2:1|O1:1|O2:0.2|O1:23|O2:23|O1:49|O2:43|O1:0|O2:0|O1:0.4|O2:1|O1:12|O2:13|O1:0.2|O2:0.2,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Ordinal Scale,Ordinal Scale,"['Ordinal Scale', 'Clinical Status', 'ordinal scale']",Time Frame: 14 days ,4138597,Clinical status,Observation,outcome_105
108,NCT04401579,14-day Participant Mortality,O1:515|O2:518,O1:0.02|O2:0.03,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Mortality,Death ,['Mortality'],Time Frame: 28 days ,4249566,Mortality rate,Observation,outcome_106
109,NCT04401579,28-day Participant Mortality,O1:515|O2:518,O1:0.05|O2:0.08,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Mortality,Death ,['Mortality'],Time Frame: within 14 days after enrollement ,4249566,Mortality rate,Observation,outcome_70
110,NCT04401579,Time to an Improvement of One Category Using an Ordinal Scale,O1:515|O2:518,O1:6.0|O2:8.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Improvement,Improvement,"['Ordinal Scale', 'improvement', 'Improvement', 'ordinal scale']",Time Frame: 15 days ,4308350,Improvement of status,Observation,outcome_107
111,NCT04401579,Time to an Improvement of Two Categories Using an Ordinal Scale,O1:515|O2:518,O1:12.0|O2:13.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Improvement,Improvement,"['Ordinal Scale', 'improvement', 'Improvement', 'ordinal scale']",Time Frame: 15 days ,35621943,Patient Global Impression of Improvement,Measurement,outcome_108
112,NCT04401579,"Time to Discharge or to a NEWS of 2 or Less and Maintained for 24 Hours, Whichever Occurs First",O1:361|O2:334,O1:6.0|O2:7.0,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,Discharge,Discharge,"['discharge', 'Discharge']",Time Frame: Day 22 ,46235136,Discharge time,Observation,outcome_109
113,NCT04401579,Change From Baseline in C-reactive Protein (CRP),O1:446|O2:455|O1:446|O2:455|O1:368|O2:367|O1:241|O2:250|O1:159|O2:181|O1:221|O2:240|O1:217|O2:219,O1:-23.035|O2:-18.671|O1:-58.935|O2:-30.908|O1:-78.411|O2:-62.038|O1:-103.789|O2:-88.881|O1:-122.339|O2:-112.588|O1:-131.333|O2:-122.342,Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo|Remdesivir Plus Baricitinib|Remdesivir Plus Placebo,C-reactive Protein (CRP),CRP,"['C-reactive Protein (CRP)', 'C-reactive Protein']","Time Frame: Days 1, 3, 5, 8, 11, 15 and 29 ",4208414,C-reactive protein measurement,Measurement,outcome_110
